"","income","height","weight","age","marital","sex","education","afqt"
"1",19000,60,155,53,"married","female",13,6.841
"2",35000,70,156,51,"married","female",10,49.444
"3",105000,65,195,52,"married","male",16,99.393
"4",40000,63,197,54,"married","female",14,44.022
"5",75000,66,190,49,"married","male",14,59.683
"6",102000,68,200,49,"divorced","female",18,98.798
"7",0,74,225,48,"married","male",16,82.26
"8",70000,64,160,54,"divorced","female",12,50.283
"9",60000,69,162,55,"divorced","male",12,89.669
"10",150000,69,194,54,"divorced","male",13,95.977
"11",115000,64,145,53,"married","female",16,67.021
"12",343830,62,170,51,"married","female",16,88.416
"13",40000,64,145,49,"divorced","female",16,89.167
"14",35000,66,128,52,"married","female",14,51.39
"15",105000,67,177,50,"married","male",16,97.075
"16",16036,62,170,52,"married","female",16,96.674
"17",5200,68,175,52,"married","female",12,25.905
"18",0,64,180,53,"married","female",13,8.528
"19",42000,69,198,49,"married","male",12,NA
"20",0,68,207,50,"single","male",12,NA
"21",53000,70,221,54,"divorced","male",12,6.069
"22",38500,70,162,50,"married","male",12,NA
"23",44000,66,175,54,"married","female",12,56.29
"24",93000,63,151,50,"married","female",12,12.788
"25",62000,72,200,53,"married","male",12,26.851
"26",45000,66,170,52,"married","male",14,38.419
"27",130000,74,236,50,"married","male",16,57.095
"28",45000,72,270,49,"married","male",12,22.326
"29",0,66,250,51,"divorced","female",12,15.325
"30",75000,72,215,53,"married","male",12,75.473
"31",73000,68,230,54,"married","female",14,71.226
"32",55000,65,200,54,"married","female",12,78.742
"33",343830,72,210,54,"divorced","male",14,69.08
"34",0,68,223,49,"single","male",8,43.641
"35",30000,66,148,54,"divorced","female",12,30.83
"36",112,62,120,56,"married","female",17,91.625
"37",45000,69,240,53,"married","male",12,98.841
"38",104000,70,225,51,"married","male",12,82.98
"39",0,66,195,50,"married","female",14,99.15
"40",51000,70,290,48,"divorced","female",14,36.384
"41",165000,71,182,52,"married","male",16,87.934
"42",0,68,220,49,"divorced","male",14,22.649
"43",343830,74,215,54,"married","male",18,93.246
"44",0,70,140,50,"married","female",16,100
"45",145000,74,210,48,"married","male",20,86.703
"46",40000,70,230,51,"divorced","male",18,NA
"47",42000,66,152,52,"single","female",16,80.538
"48",115000,64,115,51,"married","female",16,83.379
"49",70000,73,200,49,"married","male",14,42.78
"50",90000,63,146,48,"single","female",17,96.835
"51",23000,68,145,49,"single","male",19,78.759
"52",0,72,NA,52,"single","male",10,2.366
"53",0,69,238,49,"divorced","male",11,21.008
"54",0,66,170,54,"single","male",10,2.427
"55",22000,61,165,52,"single","female",11,7.198
"56",24000,68,210,49,"single","male",14,12.463
"57",25000,72,200,55,"married","male",16,80.798
"58",120000,71,160,54,"married","male",16,80.298
"59",22000,67,150,49,"married","female",16,22.823
"60",36000,59,215,50,"divorced","female",12,44.375
"61",87000,70,192,48,"divorced","male",12,28.438
"62",44000,68,150,56,"married","male",11,NA
"63",50000,65,150,52,"divorced","female",12,34.573
"64",50000,63,145,51,"married","female",12,36.772
"65",0,67,195,54,"married","female",14,59.411
"66",0,64,175,54,"married","female",13,69.552
"67",35000,65,200,55,"married","female",14,NA
"68",80000,65,130,49,"divorced","female",13,40.421
"69",100000,71,250,54,"divorced","male",16,76.421
"70",54000,67,175,54,"divorced","female",12,81.787
"71",125000,69,200,52,"married","male",16,87.651
"72",54000,69,213,50,"married","male",16,65.347
"73",60000,68,166,54,"married","male",20,96.818
"74",90000,72,185,55,"married","male",13,64.697
"75",40000,62,180,53,"married","female",12,46.195
"76",32000,68,180,49,"widowed","female",12,39.529
"77",50000,70,260,53,"married","male",15,98.349
"78",22000,70,180,55,"single","male",12,27.671
"79",3000,72,260,50,"single","male",16,97.847
"80",60000,64,NA,48,"single","female",16,92.618
"81",75000,73,230,51,"married","male",12,52.132
"82",250,61,120,51,"divorced","female",14,40.114
"83",65000,72,183,54,"married","male",14,67.259
"84",94000,71,200,52,"single","male",16,92.817
"85",0,62,303,50,"married","female",14,57.983
"86",80000,67,205,48,"married","male",13,38.315
"87",0,61,170,55,"single","female",12,5.875
"88",174030,66,150,51,"married","female",16,87.283
"89",0,63,133,49,"married","female",16,88.326
"90",80000,68,198,49,"separated","male",15,79.832
"91",75000,69,180,54,"married","female",17,72.878
"92",65000,64,145,50,"married","female",16,85.861
"93",62000,70,230,53,"married","male",12,NA
"94",14625,65,187,48,"married","female",12,37.874
"95",16000,70,160,50,"single","male",12,62.607
"96",93000,68,182,48,"divorced","male",12,86.932
"97",15600,61,135,51,"married","female",12,22.466
"98",47000,70,225,49,"single","male",12,74.997
"99",114000,66,210,48,"married","female",12,39.973
"100",0,65,140,53,"single","male",12,38.129
"101",114000,64,145,50,"married","female",14,93.332
"102",0,61,180,49,"divorced","female",12,NA
"103",10000,70,208,49,"divorced","male",12,47.003
"104",0,68,190,53,"divorced","male",11,4.975
"105",125000,62,140,50,"married","female",20,43.873
"106",65000,63,156,55,"married","female",18,85.206
"107",80000,67,187,52,"married","female",14,77.44
"108",52000,68,320,51,"married","female",12,47.296
"109",47000,62,130,53,"married","female",12,22.24
"110",50000,66,125,52,"married","female",12,46.506
"111",68000,69,180,51,"married","male",14,58.432
"112",2160,70,200,51,"divorced","male",12,19.981
"113",0,63,190,50,"single","female",12,18.862
"114",114000,70,180,50,"married","male",16,82.207
"115",0,62,312,55,"single","female",9,1.23
"116",65000,60,180,52,"married","female",13,47.279
"117",10000,66,130,55,"divorced","female",14,NA
"118",65000,72,200,54,"married","male",16,77.068
"119",40000,61,135,54,"married","female",12,30.455
"120",85000,71,260,54,"married","male",14,NA
"121",0,70,195,48,"single","male",12,NA
"122",41000,65,135,51,"married","female",16,59.078
"123",56000,72,180,48,"single","male",12,77.155
"124",110000,64,163,53,"separated","female",14,81.515
"125",12000,66,160,53,"separated","female",10,11.983
"126",130000,75,170,54,"single","male",16,59.286
"127",142000,63,170,51,"divorced","female",18,73.636
"128",150000,68,166,49,"married","male",20,89.27
"129",35000,62,130,49,"married","female",16,80.48
"130",130000,70,193,54,"married","male",16,45.527
"131",150000,72,200,54,"married","male",18,87.917
"132",29379,62,150,50,"divorced","female",12,17.107
"133",343830,70,195,49,"married","male",18,64.239
"134",0,67,200,54,"married","male",12,19.225
"135",40000,63,111,54,"married","female",12,27.551
"136",10000,69,205,55,"married","male",16,86.603
"137",13000,73,270,52,"single","male",14,73.184
"138",4400,62,122,55,"married","female",12,17.136
"139",65000,70,NA,49,"married","male",16,59.04
"140",5000,63,115,48,"married","female",16,74.988
"141",50000,72,225,51,"married","male",12,57.814
"142",125000,72,255,48,"married","male",15,79.883
"143",343830,67,165,55,"married","male",16,81.447
"144",124500,64,158,53,"married","female",20,60.012
"145",122000,67,130,51,"divorced","female",19,89.381
"146",4000,61,185,48,"single","female",7,5.315
"147",70000,65,165,49,"married","male",10,9.19
"148",14040,64,264,52,"single","female",12,13.326
"149",26000,64,168,55,"divorced","female",12,6.599
"150",0,63,190,55,"married","female",10,2.739
"151",40000,66,180,49,"separated","female",11,52.042
"152",80000,70,180,48,"single","male",14,34.084
"153",57000,60,140,55,"married","female",12,36.443
"154",35000,69,170,51,"single","male",14,55.78
"155",65000,70,200,48,"married","male",12,31.472
"156",95000,69,247,51,"married","male",10,35.461
"157",1000,68,178,49,"married","male",15,61.313
"158",46800,65,170,51,"married","female",14,71.673
"159",0,65,98,55,"divorced","female",11,64.751
"160",1480,62,225,51,"widowed","female",11,13.294
"161",38000,65,180,50,"married","female",12,50.483
"162",75000,66,175,53,"married","female",12,30.481
"163",99500,72,242,54,"married","male",12,62.957
"164",14000,62,250,55,"married","female",12,73.828
"165",30000,64,135,50,"married","female",14,81.929
"166",130000,71,210,53,"married","male",19,52.544
"167",0,72,240,51,"divorced","male",12,8.261
"168",7500,65,199,49,"married","female",14,45.311
"169",0,62,214,54,"married","female",12,NA
"170",23000,66,185,49,"married","male",12,NA
"171",9250,64,130,48,"married","female",12,NA
"172",25000,68,175,48,"married","male",11,34.745
"173",43000,64,145,51,"divorced","female",12,94.821
"174",10000,64,140,50,"married","female",12,46.148
"175",0,64,132,50,"divorced","female",12,56.308
"176",7000,68,175,48,"divorced","male",12,58.214
"177",0,64,192,54,"separated","female",14,76.189
"178",41000,76,260,54,"married","male",12,56.348
"179",65000,67,185,51,"married","male",16,83.227
"180",102000,71,200,50,"married","male",12,73.36
"181",6000,69,150,50,"married","female",16,96.501
"182",0,68,180,54,"single","male",12,23.365
"183",0,66,165,54,"divorced","male",12,49.643
"184",343830,69,185,53,"married","male",16,83.698
"185",0,67,151,56,"married","female",16,94.116
"186",4200,72,220,53,"married","male",14,64.372
"187",22000,76,290,52,"married","male",13,88.343
"188",63500,65,181,49,"divorced","female",14,72.963
"189",28000,71,187,53,"single","male",12,32.567
"190",130000,75,225,51,"married","male",18,72.769
"191",54000,64,120,49,"separated","female",16,85.4
"192",75500,69,220,54,"divorced","male",11,15.136
"193",100000,65,150,53,"married","male",14,44.708
"194",55000,61,140,51,"married","female",10,15.448
"195",66246,64,185,48,"single","female",14,62.147
"196",28000,67,195,51,"single","female",12,15.312
"197",15000,66,142,50,"single","female",12,28.861
"198",0,65,170,53,"married","female",11,11.136
"199",3000,73,250,53,"single","male",12,42.445
"200",61000,65,141,55,"divorced","female",20,92.223
"201",60000,64,145,53,"married","female",13,91.927
"202",32000,64,155,51,"married","female",12,62.191
"203",15000,61,170,55,"divorced","female",12,68.168
"204",0,66,150,49,"single","male",11,12.439
"205",48000,69,189,51,"married","male",12,18.916
"206",1700,62,186,52,"divorced","male",12,5.281
"207",37000,64,135,49,"divorced","male",12,7.399
"208",13000,67,179,47,"single","male",11,11.63
"209",40000,70,230,52,"single","male",12,27.277
"210",15000,63,160,55,"married","female",12,48.032
"211",0,71,175,51,"divorced","male",12,10.489
"212",31000,70,165,52,"married","male",12,18.491
"213",30000,73,195,48,"divorced","male",12,24.685
"214",50000,64,260,50,"divorced","female",16,52.017
"215",42000,67,167,49,"married","male",11,30.794
"216",80000,65,145,53,"married","female",14,NA
"217",49817,73,215,53,"married","male",16,78.739
"218",150000,69,190,52,"married","male",15,68.032
"219",42000,64,128,55,"married","female",16,23.404
"220",12000,72,210,53,"married","male",12,65.825
"221",0,70,180,50,"single","male",9,10.373
"222",0,64,200,51,"single","male",12,3.428
"223",0,70,258,48,"divorced","male",10,33.426
"224",95000,69,220,55,"married","female",12,31.724
"225",22000,65,197,55,"separated","female",15,62.746
"226",25000,69,165,49,"divorced","male",12,25.563
"227",25000,60,120,51,"single","female",11,14.391
"228",11000,62,145,49,"married","female",15,20.415
"229",107000,70,175,49,"married","male",18,95.123
"230",27000,60,145,54,"separated","female",10,0.738
"231",12000,62,135,53,"married","female",17,95.959
"232",170000,68,200,50,"divorced","male",16,43.221
"233",42000,69,218,50,"married","male",16,47.18
"234",0,73,160,53,"married","male",14,19.021
"235",0,64,198,51,"married","female",14,40.321
"236",11000,63,160,55,"married","female",12,65.997
"237",127000,64,175,48,"married","male",13,55.481
"238",70000,67,155,50,"married","male",12,41.794
"239",123000,68,200,54,"married","male",16,68.746
"240",150000,72,214,51,"married","male",16,28.374
"241",800,62,112,51,"married","female",18,80.272
"242",45000,71,169,55,"single","male",12,19.625
"243",1500,65,120,51,"divorced","female",12,29.278
"244",90800,75,225,53,"married","male",16,87.76
"245",20000,67,170,50,"married","female",14,51.397
"246",52000,69,210,53,"single","female",16,76.624
"247",58000,64,295,54,"single","female",18,72.481
"248",35000,65,126,54,"married","female",16,91.042
"249",40000,67,NA,52,"married","female",16,89.893
"250",30000,60,150,54,"married","female",12,11.771
"251",80000,66,180,51,"divorced","male",18,83.17
