member_id,add_ons
1,3
2,3
3,1
4,4
5,6
6,1
7,1
8,2
9,4
10,2
11,4
12,4
13,1
14,1
15,6
16,6
17,3
18,1
19,5
20,3
21,5
22,2
23,1
24,2
25,3
26,1
27,6
28,5
29,2
30,1
31,5
32,6
33,6
34,3
35,4
36,5
37,2
38,5
39,4
40,3
41,3
42,6
43,4
44,1
45,1
46,3
47,6
48,3
49,4
50,6
51,6
52,5
53,5
54,2
55,5
56,6
57,4
58,4
59,3
60,6
61,1
62,5
63,5
64,3
65,6
66,3
67,6
68,6
69,2
70,5
71,2
72,2
73,4
74,2
75,4
76,5
77,5
78,5
79,1
80,6
81,6
82,4
83,2
84,2
85,1
86,5
87,3
88,2
89,6
90,3
91,5
92,3
93,4
94,4
95,5
96,6
97,3
98,4
99,3
100,5
101,5
102,2
103,2
104,6
105,1
106,3
107,4
108,6
109,6
110,5
111,5
112,3
113,4
114,1
115,6
116,2
117,5
118,5
119,1
120,4
121,3
122,5
123,1
124,1
125,6
126,2
127,2
128,5
129,5
130,2
131,2
132,3
133,4
134,1
135,6
136,6
137,2
138,1
139,5
140,6
141,4
142,6
143,5
144,1
145,6
146,3
147,1
148,3
149,6
150,1
151,1
152,1
153,3
154,2
155,1
156,5
157,2
158,2
159,5
160,6
161,5
162,3
163,1
164,3
165,6
166,2
167,2
168,3
169,1
170,5
171,5
172,3
173,5
174,3
175,5
176,5
177,5
178,2
179,1
180,1
181,4
182,6
183,1
184,6
185,2
186,6
187,4
188,6
189,3
190,1
191,1
192,4
193,5
194,3
195,3
196,1
197,4
198,6
199,6
200,4
201,2
202,6
203,1
204,2
205,6
206,2
207,6
208,5
209,5
210,5
211,1
212,5
213,5
214,1
215,2
216,1
217,2
218,4
219,1
220,3
221,5
222,5
223,3
224,5
225,6
226,5
227,4
228,1
229,6
230,3
231,1
232,1
233,3
234,2
235,4
236,2
237,2
238,2
239,3
240,6
241,5
242,4
243,6
244,5
245,3
246,1
247,1
248,3
249,3
250,5
251,5
252,3
253,1
254,5
255,3
256,4
257,1
258,6
259,1
260,2
261,1
262,3
263,5
264,5
265,3
266,3
267,4
268,3
269,2
270,5
271,5
272,4
273,3
274,2
275,1
276,5
277,4
278,4
279,3
280,6
281,3
282,2
283,6
284,2
285,5
286,5
287,1
288,6
289,1
290,6
291,5
292,4
293,3
294,4
295,2
296,5
297,4
298,4
299,1
300,5
301,5
302,1
303,1
304,6
305,3
306,5
307,6
308,1
309,1
310,6
311,2
312,3
313,6
314,6
315,2
316,5
317,2
318,2
319,5
320,5
321,1
322,4
323,3
324,6
325,1
326,1
327,3
328,6
329,2
330,4
331,6
332,6
333,5
334,5
335,1
336,3
337,5
338,4
339,4
340,1
341,6
342,4
343,2
344,3
345,1
346,5
347,3
348,2
349,4
350,6
351,4
352,3
353,4
354,4
355,5
356,4
357,2
358,4
359,1
360,4
361,5
362,5
363,6
364,2
365,3
366,5
367,5
368,1
369,4
370,5
371,6
372,3
373,4
374,2
375,3
376,5
377,5
378,6
379,2
380,4
381,2
382,2
383,2
384,3
385,6
386,6
387,6
388,3
389,2
390,4
391,6
392,6
393,3
394,3
395,5
396,2
397,1
398,6
399,3
400,5
401,4
402,3
403,4
404,4
405,6
406,5
407,1
408,5
409,6
410,3
411,2
412,4
413,1
414,5
415,5
416,4
417,1
418,6
419,2
420,3
421,1
422,3
423,4
424,1
425,4
426,5
427,5
428,6
429,1
430,4
431,4
432,6
433,1
434,4
435,4
436,1
437,3
438,5
439,2
440,6
441,5
442,5
443,1
444,3
445,2
446,6
447,1
448,2
449,5
450,6
451,2
452,3
453,1
454,6
455,3
456,3
457,6
458,5
459,5
460,2
461,1
462,5
463,6
464,2
465,5
466,1
467,5
468,1
469,3
470,5
471,3
472,1
473,2
474,5
475,1
476,5
477,4
478,2
479,2
480,3
481,4
482,3
483,5
484,2
485,1
486,6
487,5
488,1
489,6
490,1
491,1
492,1
493,2
494,6
495,2
496,2
497,2
498,6
499,5
500,2
501,3
502,6
503,6
504,1
505,3
506,3
507,5
508,3
509,5
510,1
511,5
512,2
513,6
514,6
515,6
516,3
517,5
518,2
519,2
520,6
521,4
522,1
523,5
524,5
525,6
526,3
527,1
528,6
529,4
530,2
531,3
532,6
533,3
534,2
535,1
536,4
537,2
538,2
539,3
540,4
541,1
542,4
543,1
544,1
545,4
546,2
547,6
548,2
549,2
550,2
551,4
552,2
553,3
554,4
555,1
556,2
557,3
558,2
559,2
560,5
561,2
562,4
563,6
564,6
565,3
566,6
567,4
568,2
569,1
570,2
571,2
572,5
573,4
574,2
575,3
576,5
577,1
578,5
579,2
580,3
581,1
582,3
583,4
584,4
585,4
586,2
587,5
588,4
589,4
590,2
591,1
592,4
593,4
594,5
595,1
596,6
597,1
598,5
599,3
600,3
601,4
602,5
603,6
604,5
605,3
606,1
607,2
608,3
609,2
610,5
611,3
612,6
613,1
614,3
