member_id,membership_id,credit_card,yearly_payment,months_as_a_member
1,1,americanexpress,113.96,35
2,2,visa,45.6,31
3,3,mastercard,119.52,24
4,4,americanexpress,79.53,19
5,5,visa,60.51,5
6,6,mastercard,58.32,42
7,7,bankcard,64.03,0
8,8,instapayment,66.48,19
9,9,mastercard,115.36,21
10,10,americanexpress,113.66,23
11,11,visa,87.34,43
12,12,americanexpress,106.91,17
13,13,bankcard,63.08,9
14,14,americanexpress,50.01,20
15,15,americanexpress,100.07,27
16,16,mastercard,106.68,13
17,17,instapayment,110.51,26
18,18,bankcard,52.71,22
19,19,mastercard,64.98,32
20,20,bankcard,89.36,18
21,21,mastercard,108.31,49
22,22,mastercard,58.68,2
23,23,instapayment,113.83,9
24,24,instapayment,110.1,4
25,25,visa,89.78,11
26,26,visa,69.4,29
27,27,instapayment,60.18,16
28,28,visa,85.72,12
29,29,mastercard,108.09,35
30,30,instapayment,74.64,38
31,31,mastercard,83.63,28
32,32,mastercard,86.23,27
33,33,instapayment,70.33,16
34,34,bankcard,117.04,27
35,35,visa,68.71,43
36,36,mastercard,65.11,4
37,37,mastercard,59.96,12
38,38,bankcard,57.23,42
39,39,bankcard,100.85,8
40,40,instapayment,57.99,35
41,41,instapayment,70.3,3
42,42,instapayment,118.48,16
43,43,visa,90.42,42
44,44,americanexpress,104.76,21
45,45,americanexpress,64.2,43
46,46,americanexpress,68.19,36
47,47,americanexpress,75.23,10
48,48,visa,58.04,46
49,49,instapayment,92.87,24
50,50,americanexpress,46.65,23
51,51,instapayment,60.71,34
52,52,instapayment,50.11,6
53,53,instapayment,71.19,13
54,54,instapayment,105.53,33
55,55,instapayment,100.21,13
56,56,instapayment,48.98,12
57,57,mastercard,85.75,31
58,58,visa,65.13,16
59,59,bankcard,106.75,23
60,60,instapayment,43.18,9
61,61,bankcard,50.84,24
62,62,mastercard,100.52,24
63,63,mastercard,78.79,36
64,64,mastercard,97.01,7
65,65,visa,92.77,45
66,66,mastercard,112.03,39
67,67,instapayment,100.26,37
68,68,instapayment,41.8,41
69,69,bankcard,51.04,8
70,70,bankcard,70.19,30
71,71,instapayment,65.03,19
72,72,americanexpress,106.05,19
73,73,bankcard,69.02,3
74,74,bankcard,56.97,32
75,75,americanexpress,82.67,47
76,76,americanexpress,85.72,17
77,77,instapayment,82.47,20
78,78,mastercard,109.54,4
79,79,bankcard,82.28,40
80,80,bankcard,76.84,7
81,81,instapayment,44.95,29
82,82,instapayment,54.26,11
83,83,americanexpress,107.73,14
84,84,bankcard,93.27,29
85,85,bankcard,105.02,49
86,86,instapayment,94.13,26
